student_id,name,age,education_level,total_enrollments,completed_courses,active_courses,dropped_courses,completion_rate,total_modules_attempted,modules_completed,avg_time_per_module,total_study_hours,avg_progress_percentage,module_completion_rate,total_assessments,avg_score,max_score,min_score,assessments_passed,pass_rate,risk_level
STU00001,Allison Hill,38,High School,1,0,0,1,0.0,4,1,4.69,18.75,67.75,25.0,3,60.33,81,30,3,100.0,Medium
STU00005,Kimberly Dudley,25,High School,2,0,1,1,0.0,6,5,3.82,22.9,67.67,83.33,9,68.56,97,50,7,77.78,Medium
STU00006,Corey Jones,40,PhD,1,0,1,0,0.0,8,6,4.82,38.58,48.88,75.0,12,65.17,92,50,8,66.67,Medium
STU00015,Phillip Ryan,39,Master,3,0,1,2,0.0,16,11,5.67,90.66,49.19,68.75,25,71.56,98,40,21,84.0,Medium
STU00022,Heather Jenkins,39,High School,2,0,2,0,0.0,16,10,5.82,93.1,53.88,62.5,17,66.53,91,32,13,76.47,Medium
STU00023,Scott Wright,44,Master,2,0,2,0,0.0,8,6,4.18,33.42,46.0,75.0,13,60.85,98,34,10,76.92,Medium
STU00027,Lauren Daniels,22,Master,1,0,0,1,0.0,3,1,7.09,21.27,37.67,33.33,3,63.67,83,33,2,66.67,Medium
STU00028,Tyler Miller,36,Master,2,0,2,0,0.0,7,5,4.7,32.9,38.14,71.43,7,60.29,80,45,6,85.71,Medium
STU00029,Danielle Wheeler,22,PhD,2,0,2,0,0.0,12,8,4.55,54.56,56.92,66.67,13,76.69,100,45,9,69.23,Medium
STU00031,Angel Ellis,38,PhD,1,0,1,0,0.0,4,1,4.93,19.73,56.5,25.0,2,75.5,94,57,2,100.0,Medium
STU00033,Kendra Contreras,35,High School,1,0,1,0,0.0,7,4,3.69,25.83,55.57,57.14,10,60.9,89,32,8,80.0,Medium
STU00034,Brittney Campbell,42,Master,5,0,2,3,0.0,15,8,5.77,86.57,62.47,53.33,15,77.47,100,60,11,73.33,Medium
STU00035,Taylor Mathis Jr.,27,Bachelor,2,0,2,0,0.0,6,2,5.48,32.88,51.5,33.33,5,64.2,87,43,5,100.0,Medium
STU00039,Nicole Frost,37,PhD,2,0,2,0,0.0,8,6,5.34,42.73,54.13,75.0,14,65.36,90,41,13,92.86,Medium
STU00045,Michael Smith,35,Bachelor,1,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,High
STU00049,Nancy Hopkins,36,Bachelor,2,0,2,0,0.0,15,10,3.41,51.12,45.87,66.67,25,67.88,97,39,19,76.0,Medium
STU00052,Stephanie Dalton,34,Master,1,0,1,0,0.0,6,5,4.36,26.14,52.67,83.33,9,76.44,99,59,9,100.0,Medium
STU00056,Dustin Nelson,31,PhD,1,0,1,0,0.0,4,2,5.39,21.56,42.25,50.0,5,55.2,94,31,4,80.0,Medium
STU00065,Carol Lawson,33,Bachelor,1,0,1,0,0.0,2,1,4.34,8.67,31.0,50.0,2,68.0,70,66,1,50.0,Medium
STU00067,Dana Terry,30,PhD,2,0,2,0,0.0,8,4,4.7,37.63,64.38,50.0,9,67.11,90,31,9,100.0,Medium
STU00072,Douglas Carlson,19,High School,1,0,1,0,0.0,4,3,3.82,15.29,57.25,75.0,7,66.0,88,51,4,57.14,Medium
STU00075,Jesse Parker,37,PhD,2,0,1,1,0.0,6,4,5.79,34.74,41.5,66.67,10,61.6,86,39,9,90.0,Medium
STU00076,Cathy Robinson,26,Master,2,0,1,1,0.0,9,5,3.06,27.52,47.11,55.56,11,69.73,99,45,8,72.73,Medium
STU00084,Douglas Heath,39,Bachelor,1,0,1,0,0.0,4,3,4.56,18.26,46.0,75.0,6,63.83,94,30,4,66.67,Medium
STU00097,Samantha Campbell,42,PhD,1,0,1,0,0.0,7,4,6.42,44.92,59.86,57.14,6,68.83,94,45,4,66.67,Medium
STU00099,Reginald Williams,18,Master,3,0,3,0,0.0,18,12,5.37,96.58,45.44,66.67,24,69.67,98,36,18,75.0,Medium
STU00100,Marissa Hernandez,43,Bachelor,5,0,3,2,0.0,17,10,6.04,102.69,54.29,58.82,25,64.48,99,31,22,88.0,Medium
STU00104,Donna Perez,44,Bachelor,1,0,1,0,0.0,6,5,6.59,39.56,45.0,83.33,7,71.29,85,52,5,71.43,Medium
STU00107,Mr. David Little MD,38,PhD,2,0,1,1,0.0,11,5,5.4,59.42,66.27,45.45,10,74.7,91,50,8,80.0,Medium
STU00109,Dr. Ashley James MD,36,High School,1,0,1,0,0.0,2,1,2.53,5.06,38.5,50.0,2,59.0,82,36,1,50.0,Medium
STU00111,Heather Fields,31,High School,2,0,2,0,0.0,10,7,2.96,29.64,39.7,70.0,15,61.27,91,31,13,86.67,Medium
STU00113,Joshua Mata,40,High School,2,0,2,0,0.0,13,5,5.34,69.43,45.92,38.46,15,65.67,94,36,13,86.67,Medium
STU00115,Richard Smith,37,High School,1,0,1,0,0.0,5,4,5.0,24.99,58.8,80.0,7,66.14,90,40,5,71.43,Medium
STU00122,Tricia Williams,32,Bachelor,2,0,1,1,0.0,10,5,6.55,65.51,48.5,50.0,12,72.25,94,53,8,66.67,Medium
STU00123,Laurie Li,43,Bachelor,1,0,0,1,0.0,3,1,7.87,23.6,70.0,33.33,3,54.33,81,40,3,100.0,Medium
STU00133,Bryan Gomez,35,High School,1,0,0,1,0.0,5,4,5.85,29.23,43.2,80.0,8,71.88,95,52,4,50.0,Medium
STU00135,Donald Perez,37,PhD,4,0,2,2,0.0,14,10,6.51,91.2,28.79,71.43,26,68.42,100,35,20,76.92,Medium
STU00136,Lisa Barrett,23,PhD,1,0,1,0,0.0,8,5,7.48,59.85,53.38,62.5,11,67.91,96,33,9,81.82,Medium
STU00137,Kylie Morales,26,Master,2,0,0,2,0.0,7,5,7.32,51.27,66.71,71.43,9,60.0,99,36,5,55.56,Medium
STU00138,Jesse Moore,38,Master,3,0,2,1,0.0,15,8,4.05,60.71,55.73,53.33,15,65.8,90,35,9,60.0,Medium
STU00140,Jose Reed,26,Master,3,0,1,2,0.0,13,7,6.75,87.7,50.15,53.85,12,75.33,98,56,11,91.67,Medium
STU00143,Heather Sanders,31,Master,2,0,2,0,0.0,8,4,7.27,58.13,39.38,50.0,8,74.25,95,36,8,100.0,Medium
STU00144,Jared Bowman,31,Bachelor,1,0,1,0,0.0,7,4,6.91,48.37,60.71,57.14,6,67.83,87,37,4,66.67,Medium
STU00146,Seth Reese,33,Master,5,0,4,1,0.0,23,10,5.92,136.17,49.65,43.48,19,62.0,94,35,14,73.68,Medium
STU00153,Sara Haas,38,Bachelor,3,0,3,0,0.0,12,7,6.35,76.19,51.33,58.33,16,64.44,94,30,13,81.25,Medium
STU00156,Lindsey Hernandez,28,Master,2,0,1,1,0.0,12,8,3.84,46.1,45.25,66.67,17,65.53,98,34,15,88.24,Medium
