student_id,name,age,education_level,total_enrollments,completed_courses,active_courses,dropped_courses,completion_rate,total_modules_attempted,modules_completed,avg_time_per_module,total_study_hours,avg_progress_percentage,module_completion_rate,total_assessments,avg_score,max_score,min_score,assessments_passed,pass_rate,performance_score
STU00103,Lori Clay,24,Master,1,1,0,0,100.0,8,7,5.38,43.07,39.13,87.5,9,74.11,99,56,7,77.78,88.483
STU00358,Melissa Mcfarland,29,High School,1,1,0,0,100.0,8,7,5.78,46.22,35.88,87.5,15,70.07,92,30,11,73.33,87.271
STU00457,Jane Short,37,Master,2,2,0,0,100.0,16,13,5.85,93.64,53.31,81.25,24,69.79,99,33,21,87.5,85.312
STU00479,Christopher Mullen,45,Bachelor,1,1,0,0,100.0,8,6,6.55,52.39,48.0,75.0,11,74.45,99,31,7,63.64,84.83500000000001
STU00459,Kristen Peters,27,PhD,1,1,0,0,100.0,8,6,2.98,23.87,57.88,75.0,11,73.73,91,38,7,63.64,84.619
STU00209,Brian Butler,42,Bachelor,1,1,0,0,100.0,8,6,3.31,26.51,50.38,75.0,11,73.64,97,49,6,54.55,84.592
STU00444,Jose Bennett,44,Bachelor,1,1,0,0,100.0,8,7,5.48,43.81,56.75,87.5,15,60.2,90,36,11,73.33,84.31
STU00085,Jessica Stephens,21,Bachelor,1,1,0,0,100.0,8,6,2.92,23.39,38.5,75.0,10,72.1,98,41,9,90.0,84.13
STU00293,Mark Steele,35,PhD,1,1,0,0,100.0,8,6,4.49,35.92,51.75,75.0,12,71.5,96,30,8,66.67,83.95
STU00125,Franklin Thompson,44,Master,3,3,0,0,100.0,24,18,4.97,119.39,42.38,75.0,38,71.26,100,32,33,86.84,83.878
